-30.081664,-51.24665,"Ciclovia - Diário de Notícias"
-30.081856,-51.24669,"Ciclovia - Diário de Notícias"
-30.082829,-51.24696,"Ciclovia - Diário de Notícias"
-30.085612,-51.24766,"Ciclovia - Diário de Notícias"
-30.086594,-51.24792,"Ciclovia - Diário de Notícias"
-30.088584,-51.24839,"Ciclovia - Diário de Notícias"
-30.093579,-51.2496,"Ciclovia - Diário de Notícias"
-30.093842,-51.24969,"Ciclovia - Diário de Notícias"
-30.09412,-51.24981,"Ciclovia - Diário de Notícias"
-30.094424,-51.24998,"Ciclovia - Diário de Notícias"
-30.094659,-51.250142,"Ciclovia - Diário de Notícias"
-30.09485,-51.25028,"Ciclovia - Diário de Notícias"
-30.09513,-51.25025,"Ciclovia - Diário de Notícias"
-30.097126,-51.24881,"Ciclovia - Diário de Notícias"
-30.097452,-51.24855,"Ciclovia - Diário de Notícias"
-30.097628,-51.248536,"Ciclovia - Diário de Notícias"
-30.097691,-51.248494,"Ciclovia - Diário de Notícias"
-30.097757,-51.2484,"Ciclovia - Diário de Notícias"
-30.097916,-51.24831,"Ciclovia - Diário de Notícias"
-30.098319,-51.24824,"Ciclovia - Diário de Notícias"
-30.037344,-51.22591,"Ciclovia - Diário de Notícias"
-30.037736,-51.22545,"Ciclofaixa - José do Patrocínio"
-30.038995,-51.22403,"Ciclofaixa - José do Patrocínio"
-30.040161,-51.22292,"Ciclofaixa - José do Patrocínio"
-30.040703,-51.22233,"Ciclofaixa - José do Patrocínio"
-30.041431,-51.22161,"Ciclofaixa - José do Patrocínio"
-30.042022,-51.22099,"Ciclofaixa - José do Patrocínio"
-30.043255,-51.21978,"Ciclofaixa - José do Patrocínio"
-30.043189,-51.18269,"Ciclofaixa - José do Patrocínio"
-30.043207,-51.18268,"Panvel"
-30.043191,-51.18267,"Panvel"
-30.036777,-51.20766,"Farmácia Panvel"
-30.059549,-51.2304,"Cacau Show"
-30.032811,-51.22231,"Embaixo do viaduto"
-30.036142,-51.23088,"Faculdade de Ciências Econômicas"
-30.037002,-51.23159,"Placemark 147"
-30.049575,-51.22783,"Bicicletário na Escola de Administração UFRGS"
-30.03735,-51.20543,"Bicicletário Praia de Belas"
-29.898252,-51.2368,"Uma vaga"
-30.0319936,-51.12224,"Ponto 186"
-30.132471,-51.23349,"Estacionamento FAPA"
-30.13924,-51.2283,"Ciclofaixa - Ipanema"
-30.132447,-51.23351,"Ciclofaixa - Ipanema"
-30.133322,-51.23486,"Ciclofaixa - Ipanema"
-30.133864,-51.23574,"Ciclofaixa - Ipanema"
-30.133903,-51.23576,"Ciclofaixa - Ipanema"
-30.133948,-51.2357,"Ciclofaixa - Ipanema"
-30.133993,-51.2357,"Ciclofaixa - Ipanema"
-30.135455,-51.23283,"Ciclofaixa - Ipanema"
-30.135663,-51.23248,"Ciclofaixa - Ipanema"
-30.136075,-51.23197,"Ciclofaixa - Ipanema"
-30.136675,-51.23127,"Ciclofaixa - Ipanema"
-30.138601,-51.22904,"Ciclofaixa - Ipanema"
-30.139276,-51.22842,"Ciclofaixa - Ipanema"
-30.132471,-51.23349,"Ciclofaixa - Ipanema"
-30.13924,-51.2283,"A"
-30.165873,-51.15479,"B"
-30.150861,-51.13333,"Ciclovia - Restinga"
-30.16582,-51.15481,"Ciclovia - Restinga"
-30.165519,-51.15431,"Ciclovia - Restinga"
-30.165264,-51.15402,"Ciclovia - Restinga"
-30.165174,-51.15389,"Ciclovia - Restinga"
-30.165112,-51.15377,"Ciclovia - Restinga"
-30.165045,-51.15359,"Ciclovia - Restinga"
-30.164848,-51.15296,"Ciclovia - Restinga"
-30.164023,-51.15154,"Ciclovia - Restinga"
-30.163747,-51.1511,"Ciclovia - Restinga"
-30.163477,-51.150887,"Ciclovia - Restinga"
-30.162816,-51.15026,"Ciclovia - Restinga"
-30.162351,-51.14979,"Ciclovia - Restinga"
-30.161563,-51.14909,"Ciclovia - Restinga"
-30.161281,-51.14887,"Ciclovia - Restinga"
-30.160551,-51.148414,"Ciclovia - Restinga"
-30.16019,-51.14811,"Ciclovia - Restinga"
-30.159223,-51.14709,"Ciclovia - Restinga"
-30.158735,-51.14633,"Ciclovia - Restinga"
-30.158259,-51.145685,"Ciclovia - Restinga"
-30.157338,-51.14469,"Ciclovia - Restinga"
-30.156853,-51.14413,"Ciclovia - Restinga"
-30.156397,-51.14365,"Ciclovia - Restinga"
-30.156204,-51.1434,"Ciclovia - Restinga"
-30.15609,-51.14323,"Ciclovia - Restinga"
-30.155824,-51.1426,"Ciclovia - Restinga"
-30.155452,-51.14166,"Ciclovia - Restinga"
-30.155265,-51.140962,"Ciclovia - Restinga"
-30.154792,-51.13895,"Ciclovia - Restinga"
-30.154715,-51.13867,"Ciclovia - Restinga"
-30.154655,-51.1385,"Ciclovia - Restinga"
-30.154539,-51.138236,"Ciclovia - Restinga"
-30.154209,-51.13764,"Ciclovia - Restinga"
-30.154107,-51.13745,"Ciclovia - Restinga"
-30.153256,-51.13576,"Ciclovia - Restinga"
-30.153026,-51.1354,"Ciclovia - Restinga"
-30.152804,-51.13527,"Ciclovia - Restinga"
-30.152668,-51.1352,"Ciclovia - Restinga"
-30.15234,-51.13515,"Ciclovia - Restinga"
-30.151827,-51.1349,"Ciclovia - Restinga"
-30.15177,-51.13485,"Ciclovia - Restinga"
-30.151629,-51.13466,"Ciclovia - Restinga"
-30.151269,-51.13404,"Ciclovia - Restinga"
-30.150985,-51.13356,"Ciclovia - Restinga"
-30.150822,-51.13338,"Ciclovia - Restinga"
-30.165873,-51.15479,"Ciclovia - Restinga"
-30.150861,-51.13333,"A"
-30.096871,-51.24761,"B"
-30.084803,-51.24036,"Ciclofaixa - Icaraí"
-30.09688,-51.2476,"Ciclofaixa - Icaraí"
-30.09662,-51.24724,"Ciclofaixa - Icaraí"
-30.096141,-51.24652,"Ciclofaixa - Icaraí"
-30.09479,-51.24454,"Ciclofaixa - Icaraí"
-30.09395,-51.24334,"Ciclofaixa - Icaraí"
-30.093779,-51.24312,"Ciclofaixa - Icaraí"
-30.093573,-51.24291,"Ciclofaixa - Icaraí"
-30.093346,-51.24272,"Ciclofaixa - Icaraí"
-30.092804,-51.24241,"Ciclofaixa - Icaraí"
-30.09254,-51.24232,"Ciclofaixa - Icaraí"
-30.084795,-51.2404,"Ciclofaixa - Icaraí"
-30.096871,-51.24761,"Ciclofaixa - Icaraí"
-30.084803,-51.24036,"A"
-30.083726,-51.2407,"B"
-30.081535,-51.24396,"Ciclofaixa - Chuí"
-30.083764,-51.240742,"Ciclofaixa - Chuí"
-30.082911,-51.242,"Ciclofaixa - Chuí"
-30.081927,-51.24349,"Ciclofaixa - Chuí"
-30.081754,-51.24379,"Ciclofaixa - Chuí"
-30.081559,-51.24,"Ciclofaixa - Chuí"
-30.083726,-51.2407,"Ciclofaixa - Chuí"
-30.081535,-51.24396,"A"
-30.081312,-51.24667,"B"
-30.098319,-51.2483,"Ciclovia - Diário de Notícias"
-30.081313,-51.246635,"Ciclovia - Diário de Notícias"
-30.081664,-51.24665,"Ciclovia - Diário de Notícias"
-30.081856,-51.24669,"Ciclovia - Diário de Notícias"
-30.082829,-51.24696,"Ciclovia - Diário de Notícias"
-30.085612,-51.24766,"Ciclovia - Diário de Notícias"
-30.086594,-51.24792,"Ciclovia - Diário de Notícias"
-30.088584,-51.24839,"Ciclovia - Diário de Notícias"
-30.093579,-51.2496,"Ciclovia - Diário de Notícias"
-30.093842,-51.24969,"Ciclovia - Diário de Notícias"
-30.09412,-51.24981,"Ciclovia - Diário de Notícias"
-30.094424,-51.24998,"Ciclovia - Diário de Notícias"
-30.094659,-51.250142,"Ciclovia - Diário de Notícias"
-30.09485,-51.25028,"Ciclovia - Diário de Notícias"
-30.094989,-51.25029,"Ciclovia - Diário de Notícias"
-30.09513,-51.25025,"Ciclovia - Diário de Notícias"
-30.097452,-51.24855,"Ciclovia - Diário de Notícias"
-30.097559,-51.24855,"Ciclovia - Diário de Notícias"
-30.097628,-51.248536,"Ciclovia - Diário de Notícias"
-30.097757,-51.2484,"Ciclovia - Diário de Notícias"
-30.097916,-51.24831,"Ciclovia - Diário de Notícias"
-30.098058,-51.2482,"Ciclovia - Diário de Notícias"
-30.098319,-51.24824,"Ciclovia - Diário de Notícias"
-30.081312,-51.24667,"Ciclovia - Diário de Notícias"
-30.098319,-51.2483,"A"
-30.037297,-51.22585,"B"
-30.043241,-51.21976,"Ciclofaixa - José do Patrocínio"
-30.037344,-51.22591,"Ciclofaixa - José do Patrocínio"
-30.037736,-51.22545,"Ciclofaixa - José do Patrocínio"
-30.038995,-51.22403,"Ciclofaixa - José do Patrocínio"
-30.040703,-51.22233,"Ciclofaixa - José do Patrocínio"
-30.041431,-51.22161,"Ciclofaixa - José do Patrocínio"
-30.042022,-51.22099,"Ciclofaixa - José do Patrocínio"
-30.043255,-51.21978,"Ciclofaixa - José do Patrocínio"
-30.037297,-51.22585,"Ciclofaixa - José do Patrocínio"
